Weeks-from-start,Flint,East Palestine,Philadelphia
1,0,3,100
2,0,23,6
3,1,100,5
4,0,37,4
5,0,15,4
6,1,6,4
7,0,3,3
8,0,2,
9,0,2,
10,1,2,
11,1,2,
12,0,1,
13,0,1,
14,1,1,
15,0,1,
16,0,,
17,1,,
18,0,,
19,0,,
20,1,,
21,0,,
22,1,,
23,0,,
24,0,,
25,1,,
26,1,,
27,0,,
28,0,,
29,0,,
30,0,,
31,0,,
32,0,,
33,0,,
34,0,,
35,0,,
36,0,,
37,1,,
38,0,,
39,1,,
40,1,,
41,1,,
42,0,,
43,1,,
44,0,,
45,0,,
46,1,,
47,1,,
48,0,,
49,0,,
50,0,,
51,0,,
52,1,,
53,0,,
54,0,,
55,0,,
56,1,,
57,1,,
58,1,,
59,1,,
60,1,,
61,1,,
62,1,,
63,1,,
64,1,,
65,1,,
66,1,,
67,1,,
68,0,,
69,1,,
70,0,,
71,1,,
72,0,,
73,0,,
74,1,,
75,1,,
76,3,,
77,1,,
78,1,,
79,1,,
80,1,,
81,1,,
82,1,,
83,0,,
84,0,,
85,0,,
86,4,,
87,3,,
88,2,,
89,9,,
90,23,,
91,100,,
92,57,,
93,38,,
94,27,,
95,14,,
96,12,,
97,13,,
98,19,,
99,15,,
100,9,,
101,7,,
102,7,,
103,7,,
104,11,,
105,9,,
106,9,,
107,6,,
108,5,,
109,3,,
110,3,,
111,3,,
112,3,,
113,3,,
114,3,,
