simple-spread-chance,citizen-media-influence,citizen-citizen-influence,ba-m,peak time avg,peak time var,peak time count
0.01,0.01,0.25,3,42,,1
0.01,0.01,0.75,10,35,,1
0.01,0.05,0.5,3,35,,1
0.01,0.05,0.75,10,61,128,2
0.01,0.1,0.1,3,67,288,2
0.01,0.1,0.75,3,87,,1
0.01,0.1,0.75,10,39.5,84.5,2
0.01,0.25,0.01,3,42,,1
0.01,0.25,0.05,3,74,,1
0.01,0.25,0.1,3,80,,1
0.01,0.25,0.25,3,52.5,60.5,2
0.01,0.25,0.75,3,78,,1
0.01,0.25,0.75,10,46,1506.666667,4
0.01,0.5,0.01,3,52.5,2380.5,2
0.01,0.5,0.25,3,65.5,60.5,2
0.01,0.5,0.5,3,28.5,0.5,2
0.01,0.5,0.75,3,77.5,312.5,2
0.01,0.5,0.75,10,70.57142857,854.6190476,7
0.01,0.75,0.05,3,79.5,24.5,2
0.01,0.75,0.25,3,56,242,2
0.01,0.75,0.5,3,57.8,1821.2,5
0.01,0.75,0.5,10,38,,1
0.01,0.75,0.75,3,53,591.5,5
0.01,0.75,0.75,10,51,360.2352941,18
0.05,0.01,0.01,10,42,,1
0.05,0.01,0.05,3,35,,1
0.05,0.01,0.05,10,25,,1
0.05,0.01,0.1,3,98,,1
0.05,0.01,0.1,10,70,7,3
0.05,0.01,0.25,3,74.6,930.3,5
0.05,0.01,0.25,10,57,558.9473684,20
0.05,0.01,0.5,3,66.26315789,419.5380117,19
0.05,0.01,0.5,10,26.61904762,56.34761905,21
0.05,0.01,0.75,3,52.64,320.8233333,25
0.05,0.01,0.75,10,24.27272727,321.6363636,22
0.05,0.05,0.01,3,38.33333333,277.3333333,3
0.05,0.05,0.01,10,52.5,547.6666667,4
0.05,0.05,0.05,3,67.33333333,214.3333333,3
0.05,0.05,0.05,10,46,199,3
0.05,0.05,0.1,3,76.14285714,30.14285714,7
0.05,0.05,0.1,10,48,817.3333333,7
0.05,0.05,0.25,3,62.5,800.4230769,14
0.05,0.05,0.25,10,35.48,358.9266667,25
0.05,0.05,0.5,3,58.72,413.21,25
0.05,0.05,0.5,10,34.04166667,431.6068841,24
0.05,0.05,0.75,3,44.58333333,255.2971014,24
0.05,0.05,0.75,10,19.76,63.85666667,25
0.05,0.1,0.01,3,60.2,954.2,5
0.05,0.1,0.01,10,57.25,689.5833333,4
0.05,0.1,0.05,3,49.77777778,571.9444444,9
0.05,0.1,0.05,10,57.66666667,370.6666667,6
0.05,0.1,0.1,3,55.28571429,635.2380952,7
0.05,0.1,0.1,10,52.16666667,608.1470588,18
0.05,0.1,0.25,3,63.94736842,634.1637427,19
0.05,0.1,0.25,10,44.44,337.5066667,25
0.05,0.1,0.5,3,48.33333333,355.2753623,24
0.05,0.1,0.5,10,30,401.3333333,25
0.05,0.1,0.75,3,43.44,214.84,25
0.05,0.1,0.75,10,19.96,176.2066667,25
0.05,0.25,0.01,3,50.66666667,671.75,9
0.05,0.25,0.01,10,46.1,1221.655556,10
0.05,0.25,0.05,3,62.06666667,880.0666667,15
0.05,0.25,0.05,10,55.73684211,937.7602339,19
0.05,0.25,0.1,3,60.47368421,1020.374269,19
0.05,0.25,0.1,10,44.88,415.6933333,25
0.05,0.25,0.25,3,59.12,693.6933333,25
0.05,0.25,0.25,10,38.96,425.8733333,25
0.05,0.25,0.5,3,48.96,459.04,25
0.05,0.25,0.5,10,26.44,83.17333333,25
0.05,0.25,0.75,3,32.2,238.5,25
0.05,0.25,0.75,10,19.04,43.12333333,25
0.05,0.5,0.01,3,39,718,10
0.05,0.5,0.01,10,42.04545455,762.3311688,22
0.05,0.5,0.05,3,58.63636364,1071.95671,22
0.05,0.5,0.05,10,45.48,823.01,25
0.05,0.5,0.1,3,51.09090909,745.5151515,22
0.05,0.5,0.1,10,35.24,321.69,25
0.05,0.5,0.25,3,44.4,447.0833333,25
0.05,0.5,0.25,10,26.88,126.7766667,25
0.05,0.5,0.5,3,37.96,210.4566667,25
0.05,0.5,0.5,10,18.16,46.97333333,25
0.05,0.5,0.75,3,32.88,138.11,25
0.05,0.5,0.75,10,16.56,51.34,25
0.05,0.75,0.01,3,43.64705882,850.1176471,17
0.05,0.75,0.01,10,42.23529412,955.8161765,17
0.05,0.75,0.05,3,58.20833333,1162.780797,24
0.05,0.75,0.05,10,34.08,328.8266667,25
0.05,0.75,0.1,3,57.2,715.8333333,25
0.05,0.75,0.1,10,36.12,192.9433333,25
0.05,0.75,0.25,3,40.32,453.4766667,25
0.05,0.75,0.25,10,27.28,89.54333333,25
0.05,0.75,0.5,3,35.88,214.6933333,25
0.05,0.75,0.5,10,17.76,42.02333333,25
0.05,0.75,0.75,3,27.12,69.02666667,25
0.05,0.75,0.75,10,14.44,35.50666667,25
