,ba-m,simple-spread-chance,organizing-strategy,organizing-capacity,peak-time
0,3,0.05,high-degree-media,10,38.0
1,3,0.05,neighbors-of-neighbors,1,41.0
2,3,0.05,neighbors-of-neighbors,5,26.0
3,3,0.05,neighbors-of-neighbors,10,28.0
4,3,0.1,high-degree-cit-and-media,1,39.0
5,3,0.1,high-degree-cit-and-media,5,27.0
6,3,0.1,high-degree-cit-and-media,10,26.0
7,3,0.1,high-degree-citizens,1,40.0
8,3,0.1,high-degree-citizens,5,27.0
9,3,0.1,high-degree-citizens,10,15.0
10,3,0.1,high-degree-media,5,33.0
11,3,0.1,high-degree-media,10,26.0
12,3,0.1,neighbors-of-neighbors,1,31.0
13,3,0.1,neighbors-of-neighbors,5,14.0
14,3,0.1,neighbors-of-neighbors,10,12.0
15,3,0.25,high-degree-cit-and-media,1,13.0
16,3,0.25,high-degree-cit-and-media,5,13.0
17,3,0.25,high-degree-cit-and-media,10,16.0
18,3,0.25,high-degree-citizens,1,15.0
19,3,0.25,high-degree-citizens,5,16.0
20,3,0.25,high-degree-citizens,10,12.0
21,3,0.25,high-degree-media,1,21.0
22,3,0.25,high-degree-media,5,14.0
23,3,0.25,high-degree-media,10,16.0
24,3,0.25,neighbors-of-neighbors,1,14.0
25,3,0.25,neighbors-of-neighbors,5,9.0
26,3,0.25,neighbors-of-neighbors,10,7.0
27,3,0.5,high-degree-cit-and-media,1,9.0
28,3,0.5,high-degree-cit-and-media,5,9.0
29,3,0.5,high-degree-cit-and-media,10,9.0
30,3,0.5,high-degree-citizens,1,9.0
31,3,0.5,high-degree-citizens,5,9.0
32,3,0.5,high-degree-citizens,10,9.0
33,3,0.5,high-degree-media,1,10.0
34,3,0.5,high-degree-media,5,8.0
35,3,0.5,high-degree-media,10,11.0
36,3,0.5,neighbors-of-neighbors,1,9.0
37,3,0.5,neighbors-of-neighbors,5,7.0
38,3,0.5,neighbors-of-neighbors,10,5.0
39,3,0.75,high-degree-cit-and-media,1,7.0
40,3,0.75,high-degree-cit-and-media,5,6.0
41,3,0.75,high-degree-cit-and-media,10,6.0
42,3,0.75,high-degree-citizens,1,7.0
43,3,0.75,high-degree-citizens,5,7.0
44,3,0.75,high-degree-citizens,10,6.0
45,3,0.75,high-degree-media,1,7.0
46,3,0.75,high-degree-media,5,6.0
47,3,0.75,high-degree-media,10,6.0
48,3,0.75,neighbors-of-neighbors,1,6.0
49,3,0.75,neighbors-of-neighbors,5,5.0
50,3,0.75,neighbors-of-neighbors,10,5.0
51,10,0.05,high-degree-cit-and-media,10,23.0
52,10,0.05,high-degree-media,1,28.0
53,10,0.05,high-degree-media,5,34.0
54,10,0.05,high-degree-media,10,27.0
55,10,0.05,neighbors-of-neighbors,1,27.0
56,10,0.05,neighbors-of-neighbors,5,20.0
57,10,0.05,neighbors-of-neighbors,10,14.0
58,10,0.1,high-degree-cit-and-media,1,14.0
59,10,0.1,high-degree-cit-and-media,5,17.0
60,10,0.1,high-degree-cit-and-media,10,18.0
61,10,0.1,high-degree-citizens,1,17.0
62,10,0.1,high-degree-citizens,5,16.0
63,10,0.1,high-degree-citizens,10,14.0
64,10,0.1,high-degree-media,5,19.0
65,10,0.1,high-degree-media,10,18.0
66,10,0.1,neighbors-of-neighbors,1,13.0
67,10,0.1,neighbors-of-neighbors,5,13.0
68,10,0.1,neighbors-of-neighbors,10,8.0
69,10,0.25,high-degree-cit-and-media,1,9.0
70,10,0.25,high-degree-cit-and-media,5,9.0
71,10,0.25,high-degree-cit-and-media,10,7.0
72,10,0.25,high-degree-citizens,1,10.0
73,10,0.25,high-degree-citizens,5,9.0
74,10,0.25,high-degree-citizens,10,7.0
75,10,0.25,high-degree-media,1,7.0
76,10,0.25,high-degree-media,5,9.0
77,10,0.25,high-degree-media,10,8.0
78,10,0.25,neighbors-of-neighbors,1,7.0
79,10,0.25,neighbors-of-neighbors,5,6.0
80,10,0.25,neighbors-of-neighbors,10,5.0
81,10,0.5,high-degree-cit-and-media,1,5.0
82,10,0.5,high-degree-cit-and-media,5,4.0
83,10,0.5,high-degree-cit-and-media,10,5.0
84,10,0.5,high-degree-citizens,1,6.0
85,10,0.5,high-degree-citizens,5,4.0
86,10,0.5,high-degree-citizens,10,5.0
87,10,0.5,high-degree-media,1,4.0
88,10,0.5,high-degree-media,5,4.0
89,10,0.5,high-degree-media,10,4.0
90,10,0.5,neighbors-of-neighbors,1,5.0
91,10,0.5,neighbors-of-neighbors,5,4.0
92,10,0.5,neighbors-of-neighbors,10,5.0
93,10,0.75,high-degree-cit-and-media,1,3.0
94,10,0.75,high-degree-cit-and-media,5,4.0
95,10,0.75,high-degree-cit-and-media,10,4.0
96,10,0.75,high-degree-citizens,1,4.0
97,10,0.75,high-degree-citizens,5,4.0
98,10,0.75,high-degree-citizens,10,4.0
99,10,0.75,high-degree-media,1,4.0
100,10,0.75,high-degree-media,5,4.0
101,10,0.75,high-degree-media,10,3.0
102,10,0.75,neighbors-of-neighbors,1,4.0
103,10,0.75,neighbors-of-neighbors,5,4.0
104,10,0.75,neighbors-of-neighbors,10,3.0
